时间,实际电流
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,47.6
2018/9/17 18:10,48
2018/9/17 18:10,48
2018/9/17 18:10,48
2018/9/17 18:10,48
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48
2018/9/17 18:10,48
2018/9/17 18:10,48
2018/9/17 18:10,48
2018/9/17 18:10,48
2018/9/17 18:10,48
2018/9/17 18:10,48
2018/9/17 18:10,48
2018/9/17 18:10,47.6
2018/9/17 18:10,47.6
2018/9/17 18:10,47.6
2018/9/17 18:10,47.6
2018/9/17 18:10,49.6
2018/9/17 18:10,49.6
2018/9/17 18:10,49.6
2018/9/17 18:10,49.6
2018/9/17 18:10,49.6
2018/9/17 18:10,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,49.6
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50
2018/9/17 18:11,50.4
2018/9/17 18:11,50.4
2018/9/17 18:11,50.4
2018/9/17 18:11,50.4
2018/9/17 18:11,51.2
2018/9/17 18:11,51.2
2018/9/17 18:11,51.2
2018/9/17 18:11,51.2
2018/9/17 18:11,51.2
2018/9/17 18:11,51.2
2018/9/17 18:11,51.2
2018/9/17 18:12,51.2
2018/9/17 18:12,51.2
2018/9/17 18:12,48
2018/9/17 18:12,48
2018/9/17 18:12,48
2018/9/17 18:12,48
2018/9/17 18:12,48
2018/9/17 18:12,48
2018/9/17 18:12,48
2018/9/17 18:12,48
2018/9/17 18:12,47.6
2018/9/17 18:12,47.6
2018/9/17 18:12,47.6
2018/9/17 18:12,47.6
2018/9/17 18:12,48
2018/9/17 18:12,48
2018/9/17 18:12,48
2018/9/17 18:12,48
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:12,50
2018/9/17 18:12,50
2018/9/17 18:12,50
2018/9/17 18:12,50
2018/9/17 18:12,49.6
2018/9/17 18:12,49.6
2018/9/17 18:12,49.6
2018/9/17 18:12,49.6
2018/9/17 18:12,50
2018/9/17 18:12,50
2018/9/17 18:12,50
2018/9/17 18:12,50
2018/9/17 18:12,50
2018/9/17 18:12,50
2018/9/17 18:12,50
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:12,50
2018/9/17 18:12,50
2018/9/17 18:12,50
2018/9/17 18:12,50
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:12,50.4
2018/9/17 18:13,50.4
2018/9/17 18:13,50.4
2018/9/17 18:13,50.4
2018/9/17 18:13,50.4
2018/9/17 18:13,50.4
2018/9/17 18:13,50.4
2018/9/17 18:13,50.4
2018/9/17 18:13,50
2018/9/17 18:13,50
2018/9/17 18:13,50
2018/9/17 18:13,50
2018/9/17 18:13,50
2018/9/17 18:13,50
2018/9/17 18:13,50
2018/9/17 18:13,50
2018/9/17 18:13,50
2018/9/17 18:13,50
2018/9/17 18:13,50
2018/9/17 18:13,50
2018/9/17 18:13,48.4
2018/9/17 18:13,48.4
2018/9/17 18:13,48.4
2018/9/17 18:13,48.4
2018/9/17 18:13,48.4
2018/9/17 18:13,48.4
2018/9/17 18:13,48.4
2018/9/17 18:13,46.4
2018/9/17 18:13,46.4
2018/9/17 18:13,46.4
2018/9/17 18:13,46.4
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,46
2018/9/17 18:13,50.8
2018/9/17 18:13,50.8
2018/9/17 18:13,50.8
2018/9/17 18:13,50.8
2018/9/17 18:13,50
2018/9/17 18:13,50
2018/9/17 18:14,50
2018/9/17 18:14,50
2018/9/17 18:14,50
2018/9/17 18:14,50
2018/9/17 18:14,50
2018/9/17 18:14,50
2018/9/17 18:14,50
2018/9/17 18:14,50
2018/9/17 18:14,50
2018/9/17 18:14,49.6
2018/9/17 18:14,49.6
2018/9/17 18:14,49.6
2018/9/17 18:14,49.6
2018/9/17 18:14,49.6
2018/9/17 18:14,49.6
2018/9/17 18:14,49.6
2018/9/17 18:14,49.6
2018/9/17 18:14,49.6
2018/9/17 18:14,49.6
2018/9/17 18:14,49.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,47.6
2018/9/17 18:14,46.8
